Keyword,Currency,Avg monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range)
lower body workout,INR,5000,0%,0%,Low,2,5.04,69.07
5x5 workout,INR,500,0%,0%,Low,1,,
water aerobics,INR,500,0%,0%,Low,1,18.91,45.4
growwithjo,INR,500,0%,0%,Low,1,,
chest and back workout,INR,5000,0%,0%,Low,1,12.33,79.05
abs workout gym,INR,50000,0%,900%,Low,1,3.59,61.67
zone fitness,INR,50,0%,0%,Low,0,,
aerobics classes near me,INR,50000,900%,0%,Low,8,8.91,57.56
lower back exercises gym,INR,5000,0%,0%,Low,1,13.16,69.07
aquafit,INR,500,0%,0%,Low,2,23.02,53.15
best back workouts,INR,5000,0%,0%,Low,1,35.93,104.11
exercise for weight loss,INR,50000,0%,0%,Low,10,1.07,18.48
private gyms near me,INR,500,0%,0%,Low,13,9.89,56.11
cardiovascular fitness,INR,500,0%,-90%,Low,0,,
taneth gimenez,INR,500,900%,900%,Low,0,,
gym cycle,INR,50000,0%,0%,High,100,1.09,20.06
flex gym,INR,5000,900%,0%,Low,3,45.46,253.52
shoulder exercises gym,INR,50000,0%,0%,Low,0,1.2,63.56
functional strength training,INR,500,0%,0%,Low,1,5,56.44
gyms with pools near me,INR,500,0%,0%,Low,14,9.58,50.68
fitlife,INR,500,0%,0%,Low,0,,
silversneakers,INR,5000,0%,0%,High,85,1.68,57.56
fitness gym near me,INR,5000,0%,0%,Low,7,5.05,49.74
crossfit gym,INR,5000,0%,0%,Low,1,15.36,110.19
core fitness,INR,5000,0%,900%,Low,3,19.32,90.63
best bicep workout,INR,5000,0%,0%,Low,1,1,10.69
gym body,INR,50000,0%,0%,Low,2,,
leg workout gym,INR,50000,0%,0%,Low,1,8.03,83.05
warehouse gym,INR,500,0%,0%,Low,1,29.8,134.34
anytime fitness rates,INR,50,0%,0%,Low,10,6.09,73.84
urban fitness,INR,500,0%,900%,Low,9,6.11,77.86
city gym,INR,500,0%,0%,Low,0,,
fitness one,INR,5000,0%,0%,Low,8,15.33,85.63
full body workout gym,INR,5000,0%,0%,Low,3,2.01,35.54
chest day workout,INR,5000,0%,0%,Low,0,18.91,106.46
fit4life,INR,500,0%,0%,Low,0,,
fitzone,INR,5000,0%,0%,Low,2,34.47,84.39
inspire fitness,INR,500,0%,0%,Low,1,4.84,24.74
curefit,INR,5000,0%,-90%,Low,12,7.57,158.3
workout program,INR,500,0%,0%,Low,13,9.16,85.27
fusion gym,INR,500,0%,0%,Low,2,30.71,71.54
dance workout,INR,5000,0%,0%,Low,2,1.73,68.53
functional fitness,INR,500,0%,0%,Low,2,,
dumbbell leg workout,INR,5000,0%,0%,Low,4,9.73,65.79
muscle and fitness,INR,500,0%,0%,Low,1,,
go fitness,INR,50,0%,0%,Low,0,,
xeela fitness,INR,500,0%,0%,Low,16,,
gym exercise,INR,50000,0%,0%,Low,19,2.97,26.6
best leg workouts,INR,5000,0%,0%,Low,3,0.42,43.25
cbum fitness,INR,500,0%,0%,Low,1,,
true fitness,INR,500,0%,0%,Low,2,8.22,65.01
crossfit gyms near me,INR,5000,0%,0%,Low,6,11.01,75.54
getfit,INR,500,0%,0%,Low,3,17.68,91.13
balance ball,INR,5000,0%,900%,High,94,1.07,27.05
one fitness,INR,500,0%,0%,Low,5,16,137.84
smart fitness,INR,500,0%,0%,Medium,41,7.02,53.61
bodyweight workout,INR,5000,900%,0%,Low,3,11.51,73.55
snap fitness near me,INR,500,0%,0%,Low,2,24.67,111.33
health club,INR,5000,0%,0%,Low,2,15.33,51.47
low vibration plate,INR,50,∞,∞,Low,0,,
fitness trainer,INR,5000,0%,0%,Low,16,9.98,65.22
fitstop,INR,500,0%,0%,Low,0,,
aerobic dance,INR,5000,0%,0%,Low,0,10.69,36.18
gym gear,INR,500,0%,0%,High,99,2.07,31.2
flat stomach workout,INR,500,0%,0%,Low,2,1.08,12.65
the fitness marshall,INR,500,0%,0%,Low,0,,
anytime fitness cost,INR,500,0%,0%,Low,4,13.1,64.72
workout plans,INR,50000,0%,900%,Low,7,4.93,38.48
arc trainer,INR,500,0%,0%,Medium,43,11.34,55.09
