Keyword,Currency,Avg monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range)
apex gym,INR,500,0%,0%,Low,10,,
nitro gym,INR,5000,0%,0%,Low,1,32.59,107.47
gym trainer near me,INR,5000,0%,0%,Medium,35,8.25,60.31
new fitness,INR,500,0%,900%,Low,0,,
circuit training workouts,INR,500,0%,0%,Low,1,3.92,99.55
pump fitness,INR,50,-90%,-90%,Low,5,,
ace personal training,INR,500,0%,0%,Low,15,6.34,40.66
skipping workout,INR,500,0%,0%,Low,9,1.01,36.6
good bicep workouts,INR,50,0%,0%,Low,0,,
factory gym,INR,50,0%,0%,Low,2,,
powermax treadmill,INR,5000,0%,0%,High,100,2.08,31.74
chontel duncan,INR,50,0%,0%,Low,0,,
best cardio workouts,INR,500,0%,0%,Low,5,1.12,20.15
gym classes,INR,5000,0%,0%,Low,3,11.71,88.4
exercise program,INR,500,0%,0%,Low,5,11.51,69.9
shape fitness,INR,500,0%,0%,Low,14,,
skinny to muscular,INR,5000,0%,0%,Low,4,1,32.89
best dumbbell workouts,INR,500,0%,900%,Low,14,1.75,26.63
best ab workouts for women,INR,500,0%,0%,Low,7,1.59,2.47
push exercises gym,INR,5000,0%,900%,Low,0,11.51,112.03
colosseum gym,INR,500,0%,0%,Low,2,17.04,61.44
best workout,INR,500,0%,0%,Low,4,8.31,55.92
the rock workout,INR,500,0%,0%,Low,3,,
good arm workouts,INR,50,0%,0%,Low,0,,
booty band workout,INR,500,0%,-90%,High,94,1.01,1.3
high fitness,INR,500,0%,0%,Low,1,,
daily fitness,INR,500,0%,0%,Low,3,0.94,50.98
smith gym,INR,50,0%,0%,Low,1,,
gym city,INR,500,0%,0%,Low,0,,
figure 8 workout,INR,50,0%,-90%,Medium,40,,
powerlifting gym,INR,500,0%,0%,Low,3,,
revolution gym,INR,500,0%,0%,Low,2,6.23,89.75
the gym membership,INR,50,0%,0%,Low,13,9.88,71.02
body by jake,INR,50,0%,0%,Low,0,,
all women gym near me,INR,50,0%,900%,Low,8,6.77,48.4
good tricep workouts,INR,50,0%,0%,Low,0,,
onyx gym,INR,500,0%,0%,Low,3,,
factory fitness,INR,50,0%,0%,Low,0,,
balance fitness,INR,50,900%,900%,Low,2,,
reebok deck,INR,50,0%,0%,High,100,1.04,10.61
women's workout gyms near me,INR,500,900%,900%,Low,1,37,54.27
global gym,INR,500,0%,0%,Low,4,10.37,32.83
ems workout,INR,500,0%,0%,Low,18,1.7,104.91
gym club,INR,500,0%,0%,Low,8,8.2,41.28
stepper fitness,INR,50,0%,0%,High,87,1.26,26.23
air fitness,INR,50,0%,0%,Low,1,,
gym website,INR,5000,0%,0%,Low,15,6.58,97.86
new gym,INR,500,0%,0%,Low,1,,
fitness system,INR,50,0%,0%,Low,19,,
universal fitness,INR,500,0%,0%,Low,5,,
gym one,INR,50,0%,0%,Low,2,,
level up fitness,INR,50,0%,0%,Low,1,,
ihrsa,INR,50,900%,900%,Low,3,20.56,185.84
skinny abs,INR,500,0%,0%,Low,3,,
full upper body workout,INR,500,0%,0%,Low,1,,
outdoor fitness,INR,50,900%,0%,Low,17,,
chest tricep workout,INR,5000,0%,0%,Low,1,,
body pump workout,INR,500,0%,0%,Low,3,,
push and pull workout,INR,500,0%,0%,Low,3,,
p90x workouts,INR,500,0%,0%,Low,2,9.87,91.28
strong gym,INR,500,0%,0%,Low,1,,
gym near me ladies,INR,5000,0%,0%,Low,5,8.32,55.93
legacy gym,INR,50,900%,900%,Low,1,,
surge fitness,INR,500,0%,0%,Low,1,,
gym bros,INR,500,0%,0%,Low,0,,
beginner ab workout,INR,500,900%,900%,Low,1,1.64,33.65
weighted ab workouts,INR,500,0%,0%,Low,2,0.4,72.22
back muscles workout,INR,5000,0%,900%,Low,0,14.8,47.69
full shoulder workout,INR,5000,0%,0%,Low,0,,
emi wong workout,INR,500,0%,0%,Low,0,,
fitness planner,INR,500,0%,0%,High,78,3.47,63.85
forge fitness,INR,500,0%,0%,Low,2,10.85,78.94
bench press workout,INR,500,0%,0%,Low,27,1.03,28.86
get in shape,INR,500,0%,0%,Low,11,10.72,53.67
hiit treadmill workout,INR,500,0%,0%,Low,0,,
dance fitness classes near me,INR,5000,0%,900%,Low,13,8,59.21
maximum fitness,INR,50,0%,-90%,Low,0,,
best lower ab workout,INR,500,0%,0%,Low,0,,
aesthetic gym,INR,500,0%,900%,Low,1,,
basic exercise,INR,500,0%,0%,Low,2,1.15,34.05
sumeet sahni,INR,500,0%,0%,Low,0,,
knockout fitness,INR,500,-90%,-90%,Low,1,,
cbumfitness,INR,50,0%,0%,Low,3,,
gym instruments,INR,5000,0%,0%,High,100,1.16,12.45
good core workouts,INR,50,0%,0%,Low,0,,
weight lifting bench,INR,500,0%,0%,High,99,1.11,23.01
paradise gym,INR,500,0%,0%,Low,2,,
30 day fitness challenge,INR,500,0%,0%,Low,9,1.77,42.76
cardio exercises at gym,INR,5000,0%,0%,Low,5,1.64,50.19
the gym group near me,INR,50,-100%,-100%,Unknown,,,
be fitness,INR,500,0%,900%,Low,2,,
cardio workouts at gym,INR,5000,0%,0%,Low,7,15.18,61.91
cbum workout,INR,500,0%,900%,Low,0,,
commercial treadmill,INR,500,0%,0%,High,100,7.34,41.61
hiit classes near me,INR,500,0%,0%,Low,11,14.82,97.75
5 3 1 workout,INR,50,0%,0%,Low,1,,
true treadmill,INR,50,0%,0%,High,96,6.98,43.48
ab roller workout,INR,500,0%,0%,High,97,0.99,11.21
gym for beginners,INR,5000,0%,0%,Low,11,2.01,43.08
mikasa workout,INR,50,900%,0%,Low,1,,
upper body strength workout,INR,500,0%,0%,Low,3,,
gym center near me,INR,5000,0%,0%,Low,6,2.42,42.24
ultimate gym,INR,500,0%,0%,Low,6,3.13,9.38
weight bench with weights,INR,50,0%,0%,Medium,39,,
tribe fitness,INR,500,0%,0%,Low,2,,
full chest workout,INR,500,0%,0%,Low,1,7.02,46.2
15 minute workout,INR,500,0%,0%,Low,1,,
inspire ft2,INR,50,0%,0%,Medium,64,6.58,44.54
full body workout program,INR,50,0%,0%,Low,3,,
fitness workouts,INR,5000,0%,0%,Low,8,4.9,37.29
beginner gym workout male,INR,5000,0%,900%,Low,10,1.98,29.91
kettlebell leg workout,INR,50,900%,900%,Low,1,,
sweat fitness,INR,500,0%,0%,Low,24,27.56,101.33
booty workout gym,INR,500,900%,0%,Low,15,,
fat burning workout,INR,500,0%,0%,Low,24,1.24,37.94
fat loss workout,INR,5000,0%,0%,Low,5,1.54,31.53
freemotion treadmill,INR,500,0%,0%,High,97,8,38.26
full body strength workout,INR,500,0%,0%,Low,2,20.56,58.21
calisthenics gym near me,INR,5000,0%,0%,Low,7,5.21,39.61
shoulder day workout,INR,500,0%,0%,Low,1,,
hybrid fitness,INR,500,900%,0%,Low,2,,
we fitness,INR,500,0%,0%,Low,1,,
daily workout,INR,500,0%,0%,Low,5,1.29,42.79
crossfit programming,INR,50,0%,0%,Low,5,5.24,50.16
dfit,INR,500,0%,0%,Low,2,18.25,29.87
cybex arc trainer,INR,50,0%,0%,Medium,39,,
seven minute workout,INR,50,0%,0%,Low,9,14.8,54.27
gym membership cost,INR,500,0%,0%,Low,11,3.71,31.32
crossfit body,INR,500,0%,0%,Low,0,,
workouts for chest,INR,50000,0%,0%,Low,1,1.38,39.2
movement fitness,INR,50,900%,900%,Low,2,,
stepper workout,INR,5000,0%,0%,High,97,1.58,20.08
personal fitness trainer,INR,500,0%,0%,Low,23,9.72,67.28
good gyms near me,INR,5000,0%,0%,Low,16,9.41,65.72
jim fitness,INR,5000,900%,0%,Low,4,4.38,43.91
fitness first gym,INR,5000,0%,0%,Low,3,29.84,32.89
power in physical fitness,INR,50,0%,-90%,Low,0,,
5 day dumbbell workout,INR,500,900%,0%,Low,1,,
workout for women,INR,5000,0%,0%,Low,9,1.17,29.91
strong fitness,INR,50,900%,900%,Low,0,,
stretching after workout,INR,5000,0%,0%,Low,1,,
decathlon resistance band,INR,5000,0%,0%,High,100,1.65,23.35
quick ab workout,INR,50,0%,0%,Low,0,,
inspire gym,INR,500,0%,0%,Low,1,,
g fitness,INR,50,0%,0%,Low,4,14.48,64.91
fitness factory gym,INR,5000,0%,0%,Low,1,19.7,59.86
elevate gym,INR,500,0%,0%,Low,3,,
planks workout,INR,5000,0%,0%,Low,0,1.39,58.67
mark wahlberg workout,INR,50,900%,900%,Low,0,,
arnold workout,INR,500,0%,0%,Low,0,,
fitfam,INR,500,0%,0%,Low,0,,
5 minute arm workout,INR,50,0%,0%,Low,11,,
gym band,INR,5000,0%,0%,High,100,1.06,8.7
kettlebell core workout,INR,50,0%,0%,Low,9,,
pull up workout,INR,500,0%,0%,Low,0,,
fitness warehouse,INR,500,0%,0%,Low,3,5,40.73
golds gym membership,INR,5000,0%,0%,Low,14,8.94,89.9
no limit super gym,INR,50,∞,0%,Low,2,,
back bicep workout,INR,5000,0%,0%,Low,1,,
five star fitness,INR,50,0%,0%,Low,2,,
zyzz workout,INR,50,0%,0%,Low,0,,
d fitness,INR,500,0%,0%,Low,1,,
best gym trainers,INR,500,0%,0%,Medium,56,6.83,45.8
female fitness,INR,500,0%,-90%,Low,1,0.37,3.88
muscle building workout,INR,500,0%,0%,Low,4,6.13,24.64
ab fitness,INR,5000,0%,0%,Low,2,23.94,137.02
water aerobics exercises,INR,500,0%,0%,Low,3,,
247 gym,INR,500,0%,0%,Low,4,18.79,110.65
fitness 360,INR,500,0%,0%,Low,3,,
group fitness classes,INR,50,0%,0%,Low,5,13.12,135.31
thor workout,INR,500,900%,0%,Low,1,,
super gym,INR,500,0%,0%,Low,3,24.21,130.6
best calisthenics workout,INR,50,900%,900%,Low,1,,
fitbody,INR,500,0%,0%,Low,3,,
hiit workouts for beginners,INR,500,0%,0%,Low,7,2.98,38.96
coliseum gym,INR,50,0%,0%,Low,0,,
cross fitness,INR,50000,0%,0%,Low,1,2.62,81.92
thigh gap workout,INR,500,0%,0%,Low,2,,
apex fitness,INR,50,900%,900%,Low,1,,
kettle bell workout,INR,5000,0%,0%,Low,9,1.79,55.03
seven gym,INR,50,0%,0%,Low,1,,
no limits fitness,INR,500,0%,0%,Low,0,,
drew manning,INR,50,0%,0%,Low,0,,
family gym,INR,50,0%,-90%,Low,1,,
exercise near me,INR,500,0%,0%,Low,7,11.05,33.78
fitness pro,INR,500,0%,0%,Low,1,1.38,71.48
commercial gym,INR,500,0%,0%,Low,11,4.39,15.83
female only gym near me,INR,50,0%,0%,Low,15,6.63,77.79
10 star fitness,INR,50,∞,0%,Low,0,,
flat belly workout,INR,500,0%,0%,Low,4,0.98,17.67
absolute gym,INR,500,0%,0%,Low,1,,
gym life,INR,500,0%,0%,Low,2,,
club fitness near me,INR,50,0%,0%,Low,8,31.97,74.14
better gym near me,INR,50,0%,0%,Low,0,,
arm fat workout,INR,500,0%,0%,Low,1,4.76,101.14
20 minute hiit workout,INR,50,0%,-90%,Low,2,,
pull exercises gym,INR,5000,0%,900%,Low,2,,
best arm workouts for women,INR,50,0%,0%,Low,2,,
365 fitness,INR,50,900%,900%,Low,1,,
stair stepper workout,INR,50,0%,0%,Medium,65,1.01,21.02
chest workout for women,INR,5000,0%,0%,Low,1,1.64,51.81
bulldog gym,INR,500,0%,0%,Low,0,,
crossfit athletes,INR,500,0%,0%,Low,3,,
pro fitness gym,INR,5000,0%,0%,Low,5,7.08,41.68
